id,date,latitude,longitude,temperature_c,precip_mm,humidity_pct,wind_speed_m_s,fwi_score,drought_code,ndvi,forest_cover_pct,landcover_class,elevation_m,slope_deg,population_density,fire_occurrence
row_2478_1577836800000,2020-01-01,44.9233,179.6076,23.8,0,23,13.7,30.7,336.4,0.65,39,Grassland,1465,43.2,1,1
row_1222_1577923200000,2020-01-02,-43.9314,84.1599,30.4,0,42,12.9,15.5,317.4,0.61,17,Cropland,440,1.1,19,1
row_3202_1577923200000,2020-01-02,68.7742,-157.6719,14.4,11.3,71,6.6,0,131.3,0.45,77,Deciduous Forest,821,38.4,10,0
row_3427_1577923200000,2020-01-02,-3.9486,-35.6346,35.2,0,32,5.9,34,463.1,0.49,99,Grassland,2196,23.2,86,1
row_2546_1578009600000,2020-01-03,36.2542,-36.6785,20.4,0,23,13.8,25.7,46.9,0.89,75,Savanna,2667,42.6,11,0
row_3192_1578009600000,2020-01-03,-37.6494,-4.7237,34.2,11.5,78,0.2,0,167.2,0.16,57,Deciduous Forest,2733,3,88,0
row_3592_1578009600000,2020-01-03,49.2505,17.6607,22.9,9.8,65,8.6,0,295.1,0.84,64,Cropland,695,43.9,15,0
row_3622_1578009600000,2020-01-03,-24.6273,47.9816,33.9,0,23,6.7,37.6,479,0.57,53,Evergreen Forest,2277,32.2,32,1
row_810_1578096000000,2020-01-04,44.4021,31.8801,18.2,0,31,12.2,14.6,371.2,0.04,76,Shrubland,2056,31.1,22,0
row_1941_1578182400000,2020-01-05,2.566,135.3289,30.5,0,49,6.7,8,305,0.17,14,Barren,2733,23.6,59,0
row_3977_1578182400000,2020-01-05,-43.9521,44.8315,32.1,8.6,86,0.8,0,245.1,0.39,51,Barren,281,8.4,33,0
row_4112_1578182400000,2020-01-05,30.7681,-15.0451,25.4,0,52,3,3.6,107.1,0.26,98,Evergreen Forest,932,32.7,50,0
row_4547_1578182400000,2020-01-05,63.3246,161.8805,15.7,0,39,3.7,4.4,65.3,0.85,2,Barren,230,41.6,97,0
row_2559_1578268800000,2020-01-06,-15.8456,142.3296,38.8,0,21,7.5,46.6,376,0.61,44,Savanna,890,8.6,54,1
row_781_1578355200000,2020-01-07,25.7591,-134.6707,18.6,9.6,65,2.9,0,142.9,0.81,58,Grassland,2314,26.9,58,0
row_918_1578355200000,2020-01-07,-29.3469,7.6556,43.7,0,26,0.7,43.5,328.7,0.1,15,Cropland,640,13.4,35,0
row_1838_1578355200000,2020-01-07,-25.2522,-24.1494,38.9,23.4,79,9.8,0,154.5,0.15,5,Barren,1190,40.7,21,0
row_3187_1578355200000,2020-01-07,-46.8398,158.0145,35.9,0,33,3.4,31.2,348.5,0.62,29,Barren,2013,16.9,7,0
row_2668_1578441600000,2020-01-08,22.2998,-76.963,24.3,0,26,0.7,14.1,207.3,0.01,52,Shrubland,2208,24.8,51,0
row_2715_1578441600000,2020-01-08,4.224,-153.9287,27.6,0,43,9.7,11.6,176.8,0.36,73,Cropland,1697,19,13,0
row_567_1578528000000,2020-01-09,-32.4437,-115.4766,31.7,6.3,82,9.2,0,217.5,0.57,29,Grassland,1020,26.7,4,0
row_956_1578528000000,2020-01-09,11.2908,69.2383,22.9,0,17,5.3,22,27.3,0.42,61,Cropland,1744,40.2,7,0
row_3182_1578614400000,2020-01-10,40.192,-15.1195,26.5,0,17,2,23.5,240.7,0.12,1,Urban,2620,28,14692,0
row_373_1578787200000,2020-01-12,-49.2676,163.7955,39,7.3,81,10.3,0,238.8,0.87,53,Grassland,2990,37.1,50,0
row_1879_1578787200000,2020-01-12,-47.3287,81.8224,38.1,0,45,3.1,3.7,139,0.48,96,Shrubland,94,30.7,22,0
row_2769_1578787200000,2020-01-12,-34.5727,-8.8411,40.2,0,53,2.7,3.2,339.7,0.08,44,Cropland,1981,18,74,0
row_1930_1578873600000,2020-01-13,55.4469,151.0662,11.3,0,44,9.8,11.8,145.3,0.31,56,Shrubland,1852,35.5,35,0
row_4126_1578873600000,2020-01-13,17.6752,174.6915,17.4,0,16,9,10.8,61.1,0.77,3,Grassland,2462,17.7,71,0
row_425_1578960000000,2020-01-14,56.4217,-168.4221,23.5,0,35,1.4,9.4,277.5,0.51,85,Evergreen Forest,836,28.6,74,0
row_269_1579046400000,2020-01-15,21.9221,-76.5681,17.1,0,38,7.9,9.5,272.4,0.14,36,Barren,2731,17.7,31,0
row_1831_1579046400000,2020-01-15,11.3574,156.4267,25.4,0,38,4.2,14,119.6,0.18,19,Barren,839,8.9,45,0
row_4887_1579046400000,2020-01-15,-48.9496,64.9915,39,11.4,93,14.1,0,437.4,0.07,24,Deciduous Forest,345,7.6,7,0
row_1051_1579219200000,2020-01-17,67.4155,-166.2693,19.8,11.1,63,1.4,0,312.4,0.15,82,Shrubland,2982,22.4,92,0
row_1091_1579219200000,2020-01-17,60.8368,-65.0773,11.7,22.5,84,9.7,0,97.8,0.09,77,Barren,658,13.3,28,0
row_2013_1579219200000,2020-01-17,-31.8614,138.5633,34.6,15.3,75,9.7,0,161,0.18,38,Cropland,2013,31,13,0
